CPU001,CPU 1 ubuntu2004,User%,Sys%,Wait%,Idle%,Steal%
CPU001,T0281,0.0,100.0,0.0,0.0,0.0
CPU001,T0282,0.0,100.0,0.0,0.0,0.0
CPU001,T0283,0.0,100.0,0.0,0.0,0.0
CPU001,T0284,0.0,100.0,0.0,0.0,0.0
CPU001,T0285,0.0,100.0,0.0,0.0,0.0
CPU001,T0286,1.0,99.0,0.0,0.0,0.0
CPU001,T0287,0.0,100.0,0.0,0.0,0.0
CPU001,T0288,0.0,100.0,0.0,0.0,0.0
CPU001,T0289,0.0,100.0,0.0,0.0,0.0
CPU001,T0290,0.0,100.0,0.0,0.0,0.0
CPU001,T0291,0.0,100.0,0.0,0.0,0.0
CPU001,T0292,0.0,100.0,0.0,0.0,0.0
CPU001,T0293,0.0,100.0,0.0,0.0,0.0
CPU001,T0294,0.0,100.0,0.0,0.0,0.0
CPU001,T0295,1.0,99.0,0.0,0.0,0.0
CPU001,T0296,0.0,100.0,0.0,0.0,0.0
CPU001,T0297,0.0,100.0,0.0,0.0,0.0
CPU001,T0298,0.0,100.0,0.0,0.0,0.0
CPU001,T0299,0.0,100.0,0.0,0.0,0.0
CPU001,T0300,1.0,99.0,0.0,0.0,0.0
CPU001,T0301,0.0,100.0,0.0,0.0,0.0
CPU001,T0302,0.0,100.0,0.0,0.0,0.0
CPU001,T0303,0.0,100.0,0.0,0.0,0.0
CPU001,T0304,1.0,99.0,0.0,0.0,0.0
CPU001,T0305,1.0,99.0,0.0,0.0,0.0
CPU001,T0306,0.0,100.0,0.0,0.0,0.0
CPU001,T0307,0.0,100.0,0.0,0.0,0.0
CPU001,T0308,0.0,100.0,0.0,0.0,0.0
CPU001,T0309,0.0,100.0,0.0,0.0,0.0
CPU001,T0310,0.0,100.0,0.0,0.0,0.0
CPU001,T0311,0.0,100.0,0.0,0.0,0.0
CPU001,T0312,0.0,100.0,0.0,0.0,0.0
CPU001,T0313,0.0,100.0,0.0,0.0,0.0
CPU001,T0314,1.0,99.0,0.0,0.0,0.0
CPU001,T0315,0.0,100.0,0.0,0.0,0.0
CPU001,T0316,0.0,100.0,0.0,0.0,0.0
CPU001,T0317,0.0,100.0,0.0,0.0,0.0
CPU001,T0318,0.0,100.0,0.0,0.0,0.0
CPU001,T0319,0.0,100.0,0.0,0.0,0.0
CPU001,T0320,0.0,100.0,0.0,0.0,0.0
CPU001,T0321,0.0,100.0,0.0,0.0,0.0
CPU001,T0322,0.0,100.0,0.0,0.0,0.0
CPU001,T0323,0.0,100.0,0.0,0.0,0.0
CPU001,T0324,1.0,99.0,0.0,0.0,0.0
CPU001,T0325,0.0,100.0,0.0,0.0,0.0
CPU001,T0326,0.0,100.0,0.0,0.0,0.0
CPU001,T0327,0.0,100.0,0.0,0.0,0.0
CPU001,T0328,0.0,100.0,0.0,0.0,0.0
CPU001,T0329,0.0,100.0,0.0,0.0,0.0
CPU001,T0330,0.0,100.0,0.0,0.0,0.0
CPU001,T0331,0.0,100.0,0.0,0.0,0.0
CPU001,T0332,0.0,100.0,0.0,0.0,0.0
CPU001,T0333,0.0,100.0,0.0,0.0,0.0
CPU001,T0334,0.0,100.0,0.0,0.0,0.0
CPU001,T0335,0.0,100.0,0.0,0.0,0.0
CPU001,T0336,0.0,100.0,0.0,0.0,0.0
CPU001,T0337,0.0,100.0,0.0,0.0,0.0
CPU001,T0338,0.0,100.0,0.0,0.0,0.0
CPU001,T0339,0.0,100.0,0.0,0.0,0.0
CPU001,T0340,0.0,100.0,0.0,0.0,0.0
CPU001,T0341,0.0,100.0,0.0,0.0,0.0
CPU001,T0342,1.0,99.0,0.0,0.0,0.0
CPU001,T0343,0.0,100.0,0.0,0.0,0.0
CPU001,T0344,0.0,100.0,0.0,0.0,0.0
CPU001,T0345,0.0,100.0,0.0,0.0,0.0
CPU001,T0346,0.0,100.0,0.0,0.0,0.0
CPU001,T0347,0.0,100.0,0.0,0.0,0.0
CPU001,T0348,0.0,100.0,0.0,0.0,0.0
CPU001,T0349,0.0,100.0,0.0,0.0,0.0
CPU001,T0350,0.0,100.0,0.0,0.0,0.0
